公司代號,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),年份,季度,公司名稱
2030,6684.49,7.42,1.49,0.73,0.48,102,2,彰源
2031,4399.74,7.45,6.69,4.75,4.0,102,2,新光鋼
2032,1772.16,2.69,-0.16,0.47,0.4,102,2,新鋼工業
2033,445.26,7.91,-2.49,-1.48,-1.32,102,2,佳大世界
2034,11711.23,6.85,2.98,3.41,3.05,102,2,允強
2038,5579.86,0.9,-0.83,-1.29,-1.11,102,2,海光企業
2049,5176.88,36.52,14.52,16.38,11.3,102,2,上銀科技
2059,1840.22,50.44,37.45,47.21,38.06,102,2,川湖
2062,2846.08,26.72,16.17,18.82,15.35,102,2,橋椿
2101,6651.61,12.17,3.23,1.27,0.7,102,2,南港輪胎
2102,4345.91,22.97,11.57,11.96,9.01,102,2,泰豐輪胎
2103,19277.63,14.58,8.79,9.02,7.22,102,2,台橡
2104,11113.41,16.03,8.6,7.03,1.99,102,2,國際中橡
2105,65425.44,24.88,15.5,17.61,13.66,102,2,正新
2106,14669.13,25.47,14.1,14.66,11.3,102,2,建大
2107,2214.78,60.35,50.04,54.19,50.14,102,2,厚生
2108,4635.49,14.65,5.47,6.2,5.24,102,2,南帝化工
2109,3778.61,17.94,6.36,6.56,5.11,102,2,華豐橡膠
2114,897.14,34.04,26.01,28.27,23.75,102,2,鑫永銓
2201,41435.67,17.52,2.09,6.96,5.52,102,2,裕隆汽車
2204,18618.86,15.24,3.11,7.99,7.12,102,2,中華汽車
2206,16669.79,15.06,-0.54,1.06,0.71,102,2,三陽工業
2207,72652.0,12.19,5.12,7.26,5.8,102,2,和泰汽車
2208,12288.33,4.58,2.76,3.19,2.71,102,2,台船公司
2227,14445.28,16.95,5.07,25.53,21.18,102,2,裕隆日產
2228,1479.32,28.23,13.51,15.7,11.07,102,2,劍麟
2231,696.93,42.87,25.71,28.35,24.59,102,2,為升
2233,821.1,34.4,19.7,21.18,15.75,102,2,宇隆
2301,96777.68,14.77,4.53,5.37,4.25,102,2,光寶科技
2302,304.53,21.38,-5.07,0.76,0.54,102,2,麗正
2303,59686.12,17.87,2.42,15.62,13.66,102,2,聯電
2305,346.47,38.43,-17.21,-5.97,-8.09,102,2,全友電腦
2308,82274.7,25.39,10.77,12.39,10.83,102,2,台達電
2312,24592.03,7.3,4.04,4.01,2.07,102,2,金寶電子
2313,13624.33,13.72,7.57,6.94,4.51,102,2,華通
2314,3403.81,8.86,-11.82,-10.44,-10.77,102,2,台揚科技
2316,2813.68,7.46,-0.65,4.61,3.44,102,2,楠梓電
2317,1704629.45,5.74,1.91,2.82,1.95,102,2,鴻海
2321,3645.75,8.75,0.26,0.66,0.66,102,2,東訊
2323,8161.07,0.73,-12.99,-13.67,-13.78,102,2,中環
2324,334434.93,4.03,1.31,1.15,0.85,102,2,仁寶電腦
2327,12394.23,22.04,10.79,7.09,4.58,102,2,國巨
2328,6518.56,10.15,2.15,4.35,2.46,102,2,廣宇
2329,4487.52,7.34,-3.32,-4.09,-6.31,102,2,華泰電子
2330,288641.32,47.53,35.36,36.64,31.63,102,2,台積電
2331,29692.66,8.65,1.95,2.62,1.9,102,2,精英
2332,14447.03,26.34,-0.08,0.41,0.19,102,2,友訊科技
2337,9635.8,0.42,-41.1,-40.86,-40.88,102,2,旺宏
2338,903.64,15.6,0.6,2.51,2.05,102,2,光罩
